gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,n_services,tenure_bucket_1-2y,tenure_bucket_2-4y,tenure_bucket_4-6y,Churn,customerID,sentiment,sentiment_confidence,satisfaction_score,sentiment_negative,sentiment_neutral,sentiment_positive,emotion_satisfaction,emotion_calm,emotion_frustration,emotion_anger,emotion_anxiety,emotion_disappointment,topic_payment_problem,topic_refund_request,topic_subscription_cancellation,topic_security_concern,topic_login_issue,topic_bug_report,topic_performance_issue,topic_data_sync_issue,topic_feature_request,topic_account_suspension
0,0,1,0,1,0,1,29.85,29.85,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,29.85,1,False,False,False,0,7590-VHVEG,neutral,0.740287721157074,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,34,1,0,56.95,1889.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,55.5735294117647,2,False,True,False,0,5575-GNVDE,negative,0.8009634613990784,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,2,1,1,53.85,108.15,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,54.075,2,False,False,False,1,3668-QPYBK,negative,0.6478806138038635,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,45,0,0,42.3,1840.75,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,40.90555555555556,3,False,True,False,0,7795-CFOCW,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,2,1,1,70.7,151.65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.825,0,False,False,False,1,9237-HQITU,negative,0.8009634613990784,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,8,1,1,99.65,820.5,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,102.5625,3,False,False,False,1,9305-CDSKC,negative,0.5449150800704956,1.91,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,1,22,1,1,89.1,1949.4,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,88.60909090909091,2,True,False,False,0,1452-KIOVK,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,10,0,0,29.75,301.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,30.19,1,False,False,False,0,6713-OKOMC,negative,0.6731685400009155,1.65,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,28,1,1,104.8,3046.05,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,108.7875,4,False,True,False,1,7892-POOKP,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,62,1,0,56.15,3487.95,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,56.25725806451613,2,False,False,True,0,6388-TABGU,neutral,0.740287721157074,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,1,13,1,1,49.95,587.45,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45.18846153846154,1,True,False,False,0,9763-GRSKD,negative,0.6731685400009155,1.65,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,16,1,0,18.95,326.8,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,20.425,0,True,False,False,0,7469-LKBCI,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,1,0,58,1,0,100.35,5681.1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,97.95,3,False,False,True,0,8091-TTVAX,negative,0.8009634613990784,1.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,49,1,1,103.7,5036.3,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,102.78163265306122,4,False,False,True,1,0280-XJGEX,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,0,25,1,1,105.5,2686.05,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,107.442,5,False,True,False,0,5129-JLPIS,negative,0.8326632976531982,1.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,69,1,0,113.25,7895.15,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,114.42246376811592,6,False,False,True,0,3655-SNQYZ,negative,0.8168764710426331,1.37,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,52,1,0,20.65,1022.95,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,19.672115384615385,0,False,False,True,0,8191-XWSZG,negative,0.8326632976531982,1.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,71,1,0,106.7,7382.25,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,103.97535211267606,4,False,False,True,0,9959-WOFKT,negative,0.8326632976531982,1.33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,1,10,1,0,55.2,528.35,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,52.835,2,False,False,False,1,4190-MFLUW,negative,0.5449150800704956,1.91,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,21,1,1,90.05,1862.9,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,88.70952380952382,3,True,False,False,0,4183-MYFRB,negative,0.6982085108757019,1.6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,39.65,39.65,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,39.65,2,False,False,False,1,8779-QRDMV,negative,0.6982085108757019,1.6,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,12,1,0,19.8,202.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,16.854166666666668,0,False,False,False,0,1680-VDCWW,neutral,0.740287721157074,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
