gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,avg_monthly_spend,n_services,tenure_bucket_1-2y,tenure_bucket_2-4y,tenure_bucket_4-6y,Churn,customerID
0,0,1,0,1,0,1,29.85,29.85,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,29.85,1,False,False,False,0,7590-VHVEG
1,0,0,0,34,1,0,56.95,1889.5,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,55.5735294117647,2,False,True,False,0,5575-GNVDE
1,0,0,0,2,1,1,53.85,108.15,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,54.075,2,False,False,False,1,3668-QPYBK
1,0,0,0,45,0,0,42.3,1840.75,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,40.90555555555556,3,False,True,False,0,7795-CFOCW
0,0,0,0,2,1,1,70.7,151.65,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.825,0,False,False,False,1,9237-HQITU
0,0,0,0,8,1,1,99.65,820.5,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,102.5625,3,False,False,False,1,9305-CDSKC
1,0,0,1,22,1,1,89.1,1949.4,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,88.60909090909091,2,True,False,False,0,1452-KIOVK
0,0,0,0,10,0,0,29.75,301.9,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,30.189999999999998,1,False,False,False,0,6713-OKOMC
0,0,1,0,28,1,1,104.8,3046.05,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,108.78750000000001,4,False,True,False,1,7892-POOKP
1,0,0,1,62,1,0,56.15,3487.95,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,56.25725806451613,2,False,False,True,0,6388-TABGU
